ICD_10;Kreftform;Kjønn;Alder;År;Regionkode;Region;Geografi;Personår;Rate_ujustert;ASR_Norge;Tilfeller;Meta_Category;Meta_Values;Meta_TimeStamp
C00–96;All kreft;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;659,8;566,1;10436;Kreftform;C00–96 All kreft;2025-09-03 08:47:44
C00–96;All kreft;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;647,1;581,6;3688;Kreftform;C00–14 Leppe, munnhule og svelg;
C00–96;All kreft;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;647,1;537,3;2412;Kreftform;C15–26 Fordøyelsesorganer;
C00–96;All kreft;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;687,1;548,1;1652;Kreftform;C30–34, C38 Åndedrettsorganer;
C00–96;All kreft;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;719,8;674,2;11449;Kreftform;C40–41 Knokler og leddbrusk;
C00–96;All kreft;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;752,2;729,1;4403;Kreftform;C43 Melanom i hud;
C00–96;All kreft;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;711,1;628,3;2728;Kreftform;C44 Hud ekskl. melanom;
C00–96;All kreft;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;823,8;676,7;2043;Kreftform;C45 Mesoteliom;
C00–14;Leppe, munnhule og svelg;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;9,1;7,7;144;Kreftform;C47 Autonome nervesystem;
C00–14;Leppe, munnhule og svelg;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;7,9;7,3;45;Kreftform;C48–49 Bløtvev;
C00–14;Leppe, munnhule og svelg;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;9,7;7,6;36;Kreftform;C50 Bryst;
C00–14;Leppe, munnhule og svelg;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;8,7;6,9;21;Kreftform;C51–58 Kvinnelige kjønnsorganer;
C00–14;Leppe, munnhule og svelg;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;16,8;15,9;268;Kreftform;C60–63 Mannlige kjønnsorganer;
C00–14;Leppe, munnhule og svelg;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;13,2;13,3;77;Kreftform;C64–68 Urinveier;
C00–14;Leppe, munnhule og svelg;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;18,5;17,2;71;Kreftform;C69 Øye;
C00–14;Leppe, munnhule og svelg;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;21,4;17,8;53;Kreftform;C70–72 Sentralnervesystemet;
C15–26;Fordøyelsesorganer;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;134,9;112,1;2134;Kreftform;C73 Skjoldbruskkjertel;
C15–26;Fordøyelsesorganer;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;121,8;106,3;694;Kreftform;C37, C74–75 Andre endokrine kjertler;
C15–26;Fordøyelsesorganer;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;140,3;109,6;523;Kreftform;C39, C76, C80 Andre eller uspesifiserte;
C15–26;Fordøyelsesorganer;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;143,9;107,4;346;Kreftform;C81–96 Lymfoid og hematopoetisk vev;
C15–26;Fordøyelsesorganer;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;140,3;131,5;2231;Kjønn;Kvinner;
C15–26;Fordøyelsesorganer;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;160,4;155,6;939;Kjønn;Menn;
C15–26;Fordøyelsesorganer;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;156,9;138,5;602;Alder;Alle;
C15–26;Fordøyelsesorganer;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;186,3;153,4;462;Diagnoseperiode;2024;
C30–34, C38;Åndedrettsorganer;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;61,8;49,3;977;Standard befolkning;Norge, 2014;
C30–34, C38;Åndedrettsorganer;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;59,7;51,4;340;Region;Helse Sør-Øst RHF;
C30–34, C38;Åndedrettsorganer;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;69,5;53,7;259;Region;Helse Vest RHF;
C30–34, C38;Åndedrettsorganer;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;83,2;60,8;200;Region;Helse Midt-Norge RHF;
C30–34, C38;Åndedrettsorganer;Menn;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1590518;59,3;54,7;943;Region;Helse Nord RHF;
C30–34, C38;Åndedrettsorganer;Menn;Alle;2024;7902;Helse Vest RHF;Kommue;585312;70,7;66,8;414;;;
C30–34, C38;Åndedrettsorganer;Menn;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;383640;62,3;53,2;239;;;
C30–34, C38;Åndedrettsorganer;Menn;Alle;2024;7904;Helse Nord RHF;Kommue;247988;90,3;70,9;224;;;
C40–41;Knokler og leddbrusk;Kvinner;Alle;2024;7901;Helse Sør-Øst RHF;Kommue;1581715;1,1;1;17;;;
C40–41;Knokler og leddbrusk;Kvinner;Alle;2024;7902;Helse Vest RHF;Kommue;569899;0,7;0,7;4;;;
C40–41;Knokler og leddbrusk;Kvinner;Alle;2024;7903;Helse Midt-Norge RHF;Kommue;372764;0;0;0;;;
C40–41;Knokler og leddbrusk;Kvinner;Alle;2024;7904;Helse Nord RHF;Kommue;240436;1,2;1,1;3;;;
